﻿Wskaźnik;;Jednostka;2000;2000;2000;2000;2001;2001;2001;2001;2002;2002;2002;2002;2003;2003;2003;2003;2004;2004;2004;2004;2005;2005;2005;2005;2006;2006;2006;2006;2007;2007;2007;2007;2008;2008;2008;2008;2009;2009;2009;2009;2010;2010;2010;2010;2011;2011;2011;2011;2012;2012;2012;2012;2013;2013;2013;2013;2014;2014;2014;2014;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023;2024;2024;2024;2024;2025;2025;2025;2025;2026
;;;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.;2 kw.;3 kw.;4 kw.;1 kw.
"Mieszkania, na których budowę wydano pozwolenia lub dokonano zgłoszenia z projektem budowlanym";;tys.;24,5;33,9;39,4;54,2;23,3;28,7;30,8;66,2;12,5;21,2;24,4;27,9;13,2;22,9;26,9;35,9;22,0;31,0;31,6;30,3;25,4;31,7;34,0;32,8;31,8;43,4;46,7;48,0;45,2;69,8;68,7;65,6;50,9;64,9;66,9;49,9;43,6;46,7;48,7;39,7;35,6;46,6;50,2;42,6;37,5;50,4;53,5;42,8;38,3;49,7;40,0;37,3;29,5;38,4;36,9;34,0;34,8;41,9;43,8;36,5;38,6;48,6;51,2;50,4;42,7;55,6;56,2;57,0;60,7;70,6;59,6;60,0;66,6;65,6;61,8;63,6;57,3;72,3;71,8;67,4;59,4;62,9;70,1;83,7;84,8;87,1;83,5;85,8;78,0;93,4;66,2;60,7;52,1;60,0;62,3;67,3;70,0;74,2;76,3;71,2;63,1;59,2;70,5;73,6;67,5
"Mieszkania, których budowę rozpoczęto";;tys.;20,8;36,7;33,2;35,0;17,6;28,8;24,3;43,8;16,2;22,1;21,7;16,9;10,7;26,0;26,5;20,5;17,7;32,9;32,1;18,4;15,2;34,6;33,4;22,6;16,8;43,5;41,3;36,3;31,3;54,9;54,9;44,0;38,1;56,6;49,6;30,4;23,5;44,4;42,0;33,0;27,2;53,8;46,6;30,3;31,0;49,1;48,3;33,9;31,4;49,3;36,1;25,0;21,6;37,4;38,9;29,5;32,2;40,0;42,3;33,6;31,8;48,5;47,7;40,3;34,3;52,0;46,8;40,8;44,2;61,8;54,8;45,1;48,0;65,7;60,3;47,9;53,9;61,5;63,1;58,8;52,5;47,4;67,4;56,5;63,7;80,9;71,8;61,1;53,3;66,4;45,1;35,5;38,6;47,0;53,3;50,2;60,1;62,3;59,1;52,3;55,7;55,0;55,3;46,4;49,4
"Mieszkania w budowie ogółem (stan w końcu okresu)";;tys.;675,2;695,6;708,3;710,4;702,2;709,1;709,2;718,8;713,1;714,3;716,3;698,2;681,2;668,5;636,9;619,2;608,7;619,6;629,8;612,1;600,9;612,5;618,0;603,9;592,4;613,9;628,9;626,5;630,8;659,9;680,6;677,9;680,6;703,3;714,7;687,4;669,4;679,1;682,5;670,3;663,5;687,6;700,4;692,6;696,0;718,0;734,0;723,8;718,9;736,6;735,8;712,7;697,1;703,7;708,5;694,9;691,6;700,8;709,4;699,9;700,0;716,2;726,6;720,6;717,5;733,2;741,7;731,2;734,9;759,0;767,8;758,9;762,2;789,7;803,1;795,7;802,2;816,6;828,4;825,6;828,5;828,4;836,6;828,6;839,2;867,7;880,8;871,3;869,9;881,8;869,1;833,1;816,6;806,8;811,1;800,9;812,6;827,7;837,5;834,7;844,5;853,5;855,9;838,8;842,9
"Mieszkania oddane do użytkowania";;tys.;18,0;16,3;20,5;33,0;25,8;21,9;24,2;34,1;21,9;20,9;19,8;35,0;27,7;38,7;58,1;38,2;28,2;22,0;21,8;36,1;26,5;22,9;28,0;36,7;28,3;22,1;26,2;38,8;27,0;25,8;34,1;46,7;35,4;33,9;38,2;57,7;41,5;34,6;38,7;45,2;34,0;29,7;33,9;38,2;27,5;27,1;32,3;44,1;36,3;31,6;37,0;48,1;37,2;30,8;34,1;43,0;35,6;30,9;33,7;43,0;31,7;32,3;37,4;46,4;37,4;36,3;38,3;51,3;40,5;37,8;45,9;54,1;44,6;38,2;47,0;55,3;47,4;47,1;51,2;61,7;49,6;47,5;59,2;64,6;53,1;52,4;58,7;70,6;54,7;54,5;57,8;71,5;55,1;56,8;49,0;60,4;48,4;47,2;49,4;55,1;45,9;46,1;52,8;63,6;45,2
"indywidualne";;tys.;7,6;6,4;7,4;10,3;8,9;7,6;8,2;10,7;9,3;9,4;10,4;18,9;17,0;27,7;45,0;23,5;15,8;13,1;11,7;19,3;15,4;12,4;13,7;17,3;12,8;11,6;12,4;16,8;15,1;13,6;15,8;21,7;16,8;14,1;15,5;29,1;18,5;12,3;14,6;19,2;15,8;14,3;16,1;18,4;16,5;14,3;15,7;19,0;17,7;15,0;16,9;20,7;19,0;16,7;17,2;19,1;17,7;15,5;15,3;17,8;17,1;16,2;16,0;18,5;16,6;15,1;15,4;18,5;17,4;15,2;15,9;19,1;18,0;14,6;15,5;18,1;17,3;15,8;16,7;19,4;17,9;14,7;19,9;21,4;21,4;20,9;21,2;24,6;23,9;21,0;20,4;25,5;23,5;22,0;15,3;18,5;18,1;16,6;16,8;18,1;16,9;15,8;16,0;18,5;17,9
"na sprzedaż lub wynajem";;tys.;3,5;4,5;5,7;10,9;7,7;6,5;7,7;12,7;5,7;5,9;5,4;9,5;6,1;6,5;7,5;8,5;7,8;5,4;6,3;9,7;8,0;7,5;9,7;12,4;10,0;7,7;9,2;15,1;8,6;8,7;14,9;18,9;15,4;16,6;18,7;23,9;19,5;19,8;19,7;20,5;15,1;12,8;14,9;16,6;9,7;11,5;13,7;22,0;16,3;15,2;18,0;24,8;16,5;12,9;14,6;21,7;15,9;14,3;15,9;22,8;13,8;15,3;19,8;25,5;19,6;20,4;21,3;30,2;22,1;22,1;27,8;33,0;25,5;22,5;29,7;34,6;28,8;30,0;32,4;40,3;30,7;31,9;38,5;41,6;30,5;30,1;36,6;44,7;29,6;33,1;36,9;44,4;30,4;34,1;32,4;40,6;29,2;29,5;30,6;35,4;27,7;29,2;33,9;43,0;26,1
"pozostałe";;tys.;6,9;5,4;7,4;11,8;9,1;7,8;8,4;10,7;6,8;5,6;4,0;6,7;4,5;4,4;5,6;6,2;4,7;3,4;3,8;7,1;3,1;3,1;4,5;7,0;5,5;2,8;4,6;6,9;3,3;3,5;3,4;6,2;3,3;3,2;4,0;4,7;3,5;2,5;4,3;5,4;3,1;2,7;2,9;3,2;1,3;1,3;2,8;3,1;2,2;1,4;2,1;2,6;1,7;1,2;2,3;2,3;2,0;1,0;2,5;2,5;0,8;0,7;1,6;2,4;1,2;0,8;1,6;2,6;1,0;0,4;2,2;2,0;1,0;1,1;1,7;2,7;1,4;1,2;2,1;2,0;0,9;0,9;0,8;1,6;1,1;1,3;0,9;1,3;1,2;0,4;0,6;1,6;1,1;0,7;1,3;1,2;1,1;1,2;1,9;1,7;1,3;1,0;2,9;2,0;1,3
